id,name,slug,description,icon,sort_order,is_active,created_at,updated_at
1,"Парикмахерские услуги",hair-services,"Стрижки, окрашивание, укладка",,4,1,"2025-11-23 06:00:28","2025-11-23 21:14:04"
2,"Маникюр и педикюр",nail-services,,,2,1,"2025-11-23 06:00:28","2025-11-23 06:00:28"
3,Косметология,cosmetology,,,3,1,"2025-11-23 06:00:28","2025-11-23 06:00:28"
4,Массаж,massage,,,4,1,"2025-11-23 06:00:28","2025-11-23 06:00:28"
5,Барбершоп,barbershop,"Мужские стрижки и бритье",,5,1,"2025-11-23 06:00:28","2025-11-23 21:14:04"
6,"Тату и пирсинг",tattoo-piercing,"Татуировки и пирсинг",,35,1,"2025-11-23 06:00:28","2025-11-23 21:14:04"
7,Солярий,tanning,,,7,1,"2025-11-23 06:00:28","2025-11-23 06:00:28"
8,SPA,spa,,,8,1,"2025-11-23 06:00:28","2025-11-23 06:00:28"
9,Клининг,cleaning,"Услуги по уборке домов и офисов",,1,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
10,Автосервис,auto-service,"Ремонт и обслуживание автомобилей",,2,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
11,"Бьюти и косметология",beauty,"Салоны красоты, маникюр, педикюр, косметология",,3,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
12,"Массаж и SPA",massage-spa,"Массаж, SPA-процедуры, релаксация",,6,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
13,"Ремонт и строительство",repair-construction,"Ремонт квартир, домов, строительные работы",,7,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
14,Электрика,electrical,"Электромонтажные работы",,8,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
15,Сантехника,plumbing,"Установка и ремонт сантехники",,9,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
16,"HVAC (Отопление и кондиционирование)",hvac,"Установка и ремонт систем отопления и кондиционирования",,10,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
17,"Ландшафтный дизайн",landscaping,"Озеленение, уход за газонами, ландшафтный дизайн",,11,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
18,"Уборка снега",snow-removal,"Уборка снега и льда",,12,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
19,"Услуги няни",childcare,"Уход за детьми, няни",,13,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
20,"Уход за пожилыми",eldercare,"Сиделки, уход за пожилыми людьми",,14,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
21,"Уход за домашними животными",pet-care,"Выгул собак, уход за животными",,15,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
22,Репетиторство,tutoring,"Частные уроки, репетиторство",,16,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
23,"Обучение языкам",language-learning,"Изучение языков, ESL",,17,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
24,"Музыкальные уроки",music-lessons,"Обучение игре на музыкальных инструментах",,18,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
25,Фотография,photography,"Фотосъемка мероприятий, портреты",,19,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
26,Видеосъемка,videography,"Видеосъемка свадеб, мероприятий",,20,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
27,"Организация мероприятий",event-planning,"Организация свадеб, праздников, корпоративов",,21,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
28,Кейтеринг,catering,"Кейтеринг для мероприятий",,22,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
29,Доставка,delivery,"Доставка товаров и продуктов",,23,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
30,Переезды,moving,"Услуги по переезду",,24,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
31,"IT поддержка",it-support,"Компьютерная помощь, настройка техники",,25,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
32,Веб-разработка,web-development,"Создание и поддержка сайтов",,26,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
33,"Юридические услуги",legal-services,"Юридическая помощь, консультации",,27,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
34,"Бухгалтерские услуги",accounting,"Бухгалтерский учет, налоги",,28,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
35,Переводы,translation,"Устные и письменные переводы",,29,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
36,"Нотариальные услуги",notary,"Нотариальное заверение документов",,30,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
37,"Медицинские услуги",medical-services,"Медицинские консультации, медсестры",,31,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
38,Физиотерапия,physical-therapy,"Физиотерапия и реабилитация",,32,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
39,Химчистка,dry-cleaning,"Химчистка одежды и текстиля",,33,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
40,Прачечная,laundry,"Стирка и глажка белья",,34,1,"2025-11-23 21:14:04","2025-11-23 21:14:04"
